year,category,title,link
2023,test match,1st Test - Day 2 | Highlights | Pakistan Tour Of Sri Lanka | 17th July 2023,https://www.youtube.com/watch?v=5nX38CMJp-Q
2023,test match,Highlights | West Indies v India | Ashwin Stars With 5-60 | 1st Cycle Pure Agarbathi Test Day 1,https://www.youtube.com/watch?v=WtNWKT74Nh4
2023,test match,3 Wicket Win! | Highlights - England v Australia Day 4 | LV= Insurance Test 2023,https://www.youtube.com/watch?v=fXdBt_zNbf8
2023,test match,India crush West indies in 1st Test | Day 3 | India tour of West Indies,https://www.youtube.com/watch?v=6Nc5KCetHE4
2023,test match,Highlights | West Indies v India | Jaiswal & Rohit Hit Tons | 1st Cycle Pure Agarbathi Test Day 2,https://www.youtube.com/watch?v=B0PHj05W1pc
2022,test match,Short Highlights | Pakistan vs New Zealand | 1st Test Day 1 | PCB | MZ1L,https://www.youtube.com/watch?v=-Q4fpUAB9dU
2022,test match,New ball dominates before Head fights fire with fire | Australia v South Africa 2022-23,https://www.youtube.com/watch?v=kBM2g_HaWw8
2022,test match,Bangladesh vs India Highlights || Day 1 || 1st Test || India tour of Bangladesh 2022,https://www.youtube.com/watch?v=TeyBXSb53So
2022,test match,Bumrah With The Bat! | 35 Runs In One Over Against Stuart Broad! | England v India 2022,https://www.youtube.com/watch?v=M3ygFVrfR6E
2022,test match,"Proteas vs India | 2nd TEST HIGHLIGHTS | DAY 1 | BETWAY TEST SERIES, Imperial Wanderers, 3 Jan 2022",https://www.youtube.com/watch?v=vEyl1wfBkjk
2021,test match,India Claim Thrilling Win! | England v India - Day 5 Highlights | 2nd LV= Insurance Test 2021,https://www.youtube.com/watch?v=Y1J9_9-vNcU
2021,test match,"India claim stunning series win, end Australia's Gabba streak | Vodafone Test Series 2020-21",https://www.youtube.com/watch?v=wY6UyatwVTA
2021,test match,Day 1 Highlights | Sri Lanka v England 2021 | 2nd Test at Galle,https://www.youtube.com/watch?v=SX7i9xS_XTE
2019,test match,Roach Stars and Bumrah Takes Hat-Trick! | Classic Match Highlights | Windies v India 2019,https://www.youtube.com/watch?v=qJTVNJK2kR0
2019,test match,Headingley Final Day HIGHLIGHTS! | Incredible Ben Stokes Wins Match | The Ashes Day 4 2019,https://www.youtube.com/watch?v=wamtTEVFDiA
2023,t20,Highlights | Ireland vs Zimbabwe | 2nd T20I | Cricket | T Sports,https://www.youtube.com/watch?v=iTA_NdSt3SU
2023,t20,NZ v IND 3rd T20I on Prime Video India: Key Moments,https://www.youtube.com/watch?v=NDlW5ihu3js
2023,t20,Afghanistan Tour Of UAE | UAE vs AFG | 1st T20I Highlights,https://www.youtube.com/watch?v=IWq4L3xaCBQ
2023,t20,Highlights | Bangladesh vs England | 1st T20i | England tour of Bangladesh 2023 | T Sports,https://www.youtube.com/watch?v=H9X5xLcAs7U
2023,t20,"Afghanistan vs Pakistan, 1st Match, Extended Highlights, Part 1 | | AFG v PAK T20I Series | ACB",https://www.youtube.com/watch?v=aS7OyTgpgCQ
2022,t20,Saudi vs Canada T20I - Match 3 Highlights | Desert Cup 2022 | Cricket Highlights,https://www.youtube.com/watch?v=Df39Z9SndEw
2022,t20,Oman vs Bahrain T20I - Match 4 Highlights | Desert Cup 2022 | Cricket Highlights,https://www.youtube.com/watch?v=DVAMSqX-Cy8
2022,t20,"Proteas vs Netherlands | 2023 Pink ODI | Highlights | DP World Wanderers, Johannesburg",https://www.youtube.com/watch?v=RPWR5urWG6M
2022,t20,Canada vs Bahrain T20I - Match 2 Highlights | Desert Cup 2022 | Cricket Highlights,https://www.youtube.com/watch?v=JqgubVSLxvU
2022,t20,Scotland vs Zimbabwe 3rd t20 2021 highlights?? Zim clinch stunning victory,https://www.youtube.com/watch?v=RccJ4itVeZk
2022,t20,Uganda v Ghana ICC Africa T20 World Cup Qualifiers Group A Kigali Rwanda,https://www.youtube.com/watch?v=61FiAMuPQkc
2022,t20,"??Short Highlights | ????Botswana Vs ????Ghana | Match 7, Group A ,Benoni | Africa Cup T20 | 2022",https://www.youtube.com/watch?v=aqmWkvXwjkw
